title,author,description,language,isbn,genres,bookFormat,edition,pages,publisher,coverImg
The Hitchhiker's Guide to the Galaxy,Douglas Adams,"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox—the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.",English,9999999999999,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Novels']",Paperback,,193,Del Rey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152l/386162.jpg
The Giving Tree,Shel Silverstein,"""Once there was a tree...and she loved a little boy.""So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein.Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree, and the tree gave and gave and gave.This is a tender story, touched with sadness, aglow with consolation. Shel Silverstein has created a moving parable for readers of all ages that offers an affecting interpretation of the gift of giving and a serene acceptance of another's capacity to love in return.",English,9780060256654,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Young Adult', 'Fantasy', 'Juvenile', 'Kids', 'Short Stories']",Hardcover,,64,HarperCollins Publishers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174210942l/370493._SX318_.jpg
Wuthering Heights,"Emily Brontë, Richard J. Dunn (Editor), David Timson (Narrator), Charlotte Brontë (Commentary), Robert Heindel (Illustrator)","You can find the redesigned cover of this edition HERE.This best-selling Norton Critical Edition is based on the 1847 first edition of the novel. For the Fourth Edition, the editor has collated the 1847 text with several modern editions and has corrected a number of variants, including accidentals. The text is accompanied by entirely new explanatory annotations.New to the fourth Edition are twelve of Emily Bronte's letters regarding the publication of the 1847 edition of Wuthering Heights as well as the evolution of the 1850 edition, prose and poetry selections by the author, four reviews of the novel, and poetry selections by the author, four reviews of the novel, and Edward Chitham's insightful and informative chronology of the creative process behind the beloved work.Five major critical interpretations of Wuthering Heights are included, three of them new to the Fourth Edition. A Stuart Daley considers the importance of chronology in the novel. J. Hillis Miller examines Wuthering Heights's problems of genre and critical reputation. Sandra M. Gilbert assesses the role of Victorian Christianity plays in the novel, while Martha Nussbaum traces the novel's romanticism. Finally, Lin Haire-Sargeant scrutinizes the role of Heathcliff in film adaptations of Wuthering Heights. A Chronology and updated Selected Bibliography are also included.",English,9780393978896,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Literature', 'Historical Fiction', '19th Century', 'Novels', 'Classic Literature', 'Historical']",Paperback,Fourth Edition,464,Norton,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587655304l/6185._SY475_.jpg
The Da Vinci Code,Dan Brown (Goodreads Author),"ISBN 9780307277671 moved to this edition.While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter.Even more startling, the late curator was involved in the Priory of Sion—a secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci—and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever.",English,9999999999999,"['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Mystery Thriller', 'Historical Fiction', 'Adventure', 'Novels', 'Crime', 'Adult']",Paperback,,489,Anchor,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267l/968.jpg
Memoirs of a Geisha,Arthur Golden,"A literary sensation and runaway bestseller, this brilliant debut novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.In Memoirs of a Geisha, we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most powerful men; and where love is scorned as illusion. It is a unique and triumphant work of fiction - at once romantic, erotic, suspenseful - and completely unforgettable.",English,9781400096893,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Classics', 'Japan', 'Adult', 'Novels', 'Asia', 'Adult Fiction']",Mass Market Paperback,,503,Vintage Books USA,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409595968l/929.jpg
The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides (Introduction)","Written in his distinctively dazzling manner, Oscar Wilde’s story of a fashionable young man who sells his soul for eternal youth and beauty is the author’s most popular work. The tale of Dorian Gray’s moral disintegration caused a scandal when it ﬁrst appeared in 1890, but though Wilde was attacked for the novel’s corrupting inﬂuence, he responded that there is, in fact, “a terrible moral in Dorian Gray.” Just a few years later, the book and the aesthetic/moral dilemma it presented became issues in the trials occasioned by Wilde’s homosexual liaisons, which resulted in his imprisonment. Of Dorian Gray’s relationship to autobiography, Wilde noted in a letter, “Basil Hallward is what I think I am: Lord Henry what the world thinks me: Dorian what I would like to be—in other ages, perhaps.",English,9999999999999,"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Literature', 'Gothic', 'Novels', '19th Century', 'LGBT', 'Classic Literature']",Paperback,Modern Library Classics,272,Random House: Modern Library,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428l/5297.jpg
Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel (Illustrator), Martin Gardner (Introduction)","""I can't explain myself, I'm afraid, sir,"" said Alice, ""Because I'm not myself, you see.""When Alice sees a white rabbit take a watch out of its waistcoat pocket she decides to follow it, and a sequence of most unusual events is set in motion. This mini book contains the entire topsy-turvy stories of Alice's Adventures in Wonderland and Through the Looking-Glass, accompanied by practical notes and Martina Pelouso's memorable full-colour illustrations.",English,9780451527745,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Literature', 'Adventure', 'Novels', '19th Century', 'British Literature']",Paperback,,239,Penguin Group (USA),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327872220l/24213.jpg
Jane Eyre,"Charlotte Brontë, Michael Mason (Editor), Barnett Freedman (Illustrator)","Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward Adèle. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard. But there is a terrifying secret inside the gloomy, forbidding Thornfield Hall. Is Rochester hiding from Jane? Will Jane be left heartbroken and exiled once again?",English,9780142437209,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Gothic', 'Historical', '19th Century', 'School', 'Classic Literature']",Paperback,Penguin Classics,532,Penguin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311l/10210._SY475_.jpg
Les Misérables,"Victor Hugo, Lee Fahnestock (Translator), Norman MacAfee (Translator)","Introducing one of the most famous characters in literature, Jean Valjean—the noble peasant imprisoned for stealing a loaf of bread—Les Misérables ranks among the greatest novels of all time. In it, Victor Hugo takes readers deep into the Parisian underworld, immerses them in a battle between good and evil, and carries them to the barricades during the uprising of 1832 with a breathtaking realism that is unsurpassed in modern prose. Within his dramatic story are themes that capture the intellect and the emotions: crime and punishment, the relentless persecution of Valjean by Inspector Javert, the desperation of the prostitute Fantine, the amorality of the rogue Thénardier, and the universal desire to escape the prisons of our own minds. Les Misérables gave Victor Hugo a canvas upon which he portrayed his criticism of the French political and judicial systems, but the portrait that resulted is larger than life, epic in scope—an extravagant spectacle that dazzles the senses even as it touches the heart.",English,9999999999999,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'France', 'Historical', 'Novels', 'French Literature', 'Romance', 'Classic Literature']",Mass Market Paperback,,1463,Signet Classics,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411852091l/24280.jpg
Fahrenheit 451,Ray Bradbury,"Guy Montag is a fireman. In his world, where television rules and literature is on the brink of extinction, firemen start fires rather than put them out. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden.Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television 'family'. But then he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people did not live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television.When Mildred attempts suicide and Clarisse suddenly disappears, Montag begins to question everything he has ever known.",English,B0064CPN7I,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels', 'Fantasy', 'Adult', 'Science Fiction Fantasy']",Kindle Edition,60th Anniversary Edition,194,Simon & Schuster,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290l/13079982.jpg
Divergent,Veronica Roth (Goodreads Author),"In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really is—she can't have both. So she makes a choice that surprises everyone, including herself.During the highly competitive initiation that follows, Beatrice renames herself Tris and struggles alongside her fellow initiates to live out the choice they have made. Together they must undergo extreme physical tests of endurance and intense psychological simulations, some with devastating consequences. As initiation transforms them all, Tris must determine who her friends really are—and where, exactly, a romance with a sometimes fascinating, sometimes exasperating boy fits into the life she's chosen. But Tris also has a secret, one she's kept hidden from everyone because she's been warned it can mean death. And as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society, she also learns that her secret might help her save those she loves . . . or it might destroy her.",English,9780062024039,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",Paperback,,487,Katherine Tegen Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588455221l/13335037._SY475_.jpg
Lord of the Flies,William Golding,"At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about “the end of innocence, the darkness of man’s heart.”",English,9780140283334,"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School', 'Novels', 'High School', 'Adventure']",Paperback,Penguin Great Books of the 20th Century,182,Penguin Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409l/7624.jpg
Romeo and Juliet,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Paavo Emil Cajander (Translator)","In Romeo and Juliet, Shakespeare creates a violent world, in which two young people fall in love. It is not simply that their families disapprove; the Montagues and the Capulets are engaged in a blood feud.In this death-filled setting, the movement from love at first sight to the lovers’ final union in death seems almost inevitable. And yet, this play set in an extraordinary world has become the quintessential story of young love. In part because of its exquisite language, it is easy to respond as if it were about all young lovers.",English,9780743477116,"['Classics', 'Plays', 'Fiction', 'Romance', 'School', 'Drama', 'Read For School', 'Literature', 'High School', 'Poetry']",Paperback,Folger Shakespeare Library Edition,301,Simon Schuster,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572098085l/18135._SY475_.jpg
The Alchemist,"Paulo Coelho (Goodreads Author), Alan R. Clarke (Translator), James Noel Smith (Illustrator)","Paulo Coelho's enchanting novel has inspired a devoted following around the world. This story, dazzling in its powerful simplicity and soul-stirring wisdom, is about an Andalusian shepherd boy named Santiago who travels from his homeland in Spain to the Egyptian desert in search of a treasure buried near the Pyramids. Along the way he meets a Gypsy woman, a man who calls himself king, and an alchemist, all of whom point Santiago in the direction of his quest. No one knows what the treasure is, or if Santiago will be able to surmount the obstacles in his path. But what starts out as a journey to find worldly goods turns into a discovery of the treasure found within. Lush, evocative, and deeply humane, the story of Santiago is an eternal testament to the transforming power of our dreams and the importance of listening to our hearts.Illustration: Jim Tierney",English,9780062315007,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Literature', 'Self Help', 'Inspirational', 'Adventure']",Paperback,25th Anniversary Edition,182,HarperOne,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466865542l/18144590._SY475_.jpg
Crime and Punishment,"Fyodor Dostoyevsky, David McDuff (Translator)","Raskolnikov, a destitute and desperate former student, wanders through the slums of St Petersburg and commits a random murder without remorse or regret. He imagines himself to be a great man, a Napoleon: acting for a higher purpose beyond conventional moral law. But as he embarks on a dangerous game of cat and mouse with a suspicious police investigator, Raskolnikov is pursued by the growing voice of his conscience and finds the noose of his own guilt tightening around his neck. Only Sonya, a downtrodden prostitute, can offer the chance of redemption.",English,9780143058144,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Novels', 'Philosophy', 'Crime', '19th Century', 'School']",Paperback,Penguin Classics,671,Penguin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449l/7144.jpg
The Perks of Being a Wallflower,Stephen Chbosky,"standing on the fringes of life...offers a unique perspective. But there comes a time to seewhat it looks like from the dance floor.This haunting novel about the dilemma of passivity vs. passion marks the stunning debut of a provocative new voice in contemporary fiction: The Perks of Being A WALLFLOWERThis is the story of what it's like to grow up in high school. More intimate than a diary, Charlie's letters are singular and unique, hilarious and devastating. We may not know where he lives. We may not know to whom he is writing. All we know is the world he shares. Caught between trying to live his life and trying to run from it puts him on a strange course through uncharted territory. The world of first dates and mixed tapes, family dramas and new friends. The world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that the perfect song on that perfect drive to feel infinite.Through Charlie, Stephen Chbosky has created a deeply affecting coming-of-age story, a powerful novel that will spirit you back to those wild and poignant roller coaster days known as growing up.(back cover)",English,9999999999999,"['Young Adult', 'Fiction', 'Contemporary', 'Coming Of Age', 'Romance', 'Realistic Fiction', 'LGBT', 'Classics', 'Mental Health', 'Teen']",Paperback,1st MTV/Pocket Books trade paperback edition (US/CAN),213,MTV Books/Pocket Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520093244l/22628.jpg
The Great Gatsby,"F. Scott Fitzgerald, Francis Scott Fitzgerald","Alternate Cover Edition ISBN: 0743273567 (ISBN13: 9780743273565)The Great Gatsby, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story is of the fabulously wealthy Jay Gatsby and his new love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted ""gin was the national drink and sex the national obsession,"" it is an exquisitely crafted tale of America in the 1920s.The Great Gatsby is one of the great classics of twentieth-century literature.(back cover)",English,9999999999999,"['Classics', 'Fiction', 'School', 'Literature', 'Historical Fiction', 'Romance', 'Novels', 'Read For School', 'High School', 'American']",Paperback,US / CAN,200,Scribner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490528560l/4671._SY475_.jpg
City of Bones,Cassandra Clare (Goodreads Author),"When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It's hard to call the police when the murderers are invisible to everyone else and when there is nothing―not even a smear of blood―to show that a boy has died. Or was he a boy?This is Clary's first meeting with the Shadowhunters, warriors dedicated to ridding the earth of demons. It's also her first encounter with Jace, a Shadowhunter who looks a little like an angel and acts a lot like a jerk. Within twenty-four hours Clary is pulled into Jace's world with a vengeance when her mother disappears and Clary herself is attacked by a demon. But why would demons be interested in ordinary mundanes like Clary and her mother? And how did Clary suddenly get the Sight? The Shadowhunters would like to know...",English,9781416914280,"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction', 'Vampires', 'Supernatural', 'Angels', 'Magic']",Hardcover,,485,Margaret K. McElderry Books,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315l/256683._SY475_.jpg
Ender's Game,"Orson Scott Card, Stefan Rudnicki (Narrator), Harlan Ellison (Narrator)","Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.But Ender is not the only result of the experiment. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway almost as long. Ender's two older siblings, Peter and Valentine, are every bit as unusual as he is, but in very different ways. While Peter was too uncontrollably violent, Valentine very nearly lacks the capability for violence altogether. Neither was found suitable for the military's purpose. But they are driven by their jealousy of Ender, and by their inbred drive for power. Peter seeks to control the political process, to become a ruler. Valentine's abilities turn more toward the subtle control of the beliefs of commoner and elite alike, through powerfully convincing essays. Hiding their youth and identities behind the anonymity of the computer networks, these two begin working together to shape the destiny of Earth-an Earth that has no future at all if their brother Ender fails.Source: hatrack.com",English,9780812550702,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia', 'War', 'Audiobook', 'Adventure']",Audiobook,Unabridged,324,Macmillan Audio,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130l/375802.jpg
